Day;Month;Year;bedrooms;bathrooms;kvm_living;kvm_lot;floors;waterfront;view;condition;grade;kvm_above;kvm_basement;yr_built;yr_renovated;zipcode;lat;long;kvm_living15;kvm_lot15;price_nok
24;2;2015;0.0909090909091;0.25;0.0771730300569;0.00480543529289;0.0;0;0;3;7;0.112160566706;0.0;0.817391304348;0;98042;0.343895769664;0.36877076412;0.157407407407;0.00896422963265;0.023606557377
16;9;2014;0.121212121212;0.25;0.121039805037;0.00475327317302;0.0;0;0;3;7;0.175914994097;0.0;0.573913043478;0;98188;0.453273282934;0.199335548173;0.207407407407;0.00989156373258;0.0310819672131
31;10;2014;0.151515151515;0.25;0.108854589764;0.00415340879453;0.0;0;0;4;6;0.158205430933;0.0;0.382608695652;0;98178;0.545922470645;0.233388704319;0.198148148148;0.00744340170877;0.0229442622951
7;5;2014;0.121212121212;0.1875;0.152721364744;0.00774607480048;0.0;0;0;3;7;0.175914994097;0.0870535714286;0.434782608696;0;98004;0.751648705163;0.256644518272;0.42037037037;0.0138976470443;0.135737704918
5;1;2015;0.0909090909091;0.21875;0.0576766856214;0.00445986124876;0.0;0;0;4;7;0.0838252656434;0.0;0.747826086957;0;98092;0.193340839633;0.304817275748;0.175925925926;0.00807398889672;0.0179672131148
5;6;2014;0.0909090909091;0.125;0.0649878147847;0.00260810599343;0.0;0;0;4;6;0.0944510035419;0.0;0.495652173913;0;98027;0.605115007238;0.406976744186;0.235185185185;0.00744340170877;0.0216393442623
9;2;2015;0.121212121212;0.28125;0.210398050366;0.00603776537478;0.5;0;0;4;9;0.305785123967;0.0;0.591304347826;0;98040;0.608814540775;0.245016611296;0.357407407407;0.0114371205658;0.142950819672
3;4;2015;0.121212121212;0.28125;0.10804224208;0.00441421939388;0.0;0;0;3;8;0.115702479339;0.0758928571429;0.478260869565;0;98146;0.572623451826;0.151162790698;0.227777777778;0.00822236235271;0.0343278688525
8;1;2015;0.0909090909091;0.125;0.0739236393176;0.00413384799958;0.0;0;0;3;7;0.0743801652893;0.0625;0.582608695652;0;98023;0.239826282773;0.12292358804;0.153703703704;0.00764123298342;0.0187868852459
17;2;2015;0.0909090909091;0.3125;0.100731112916;0.000880235772782;0.5;0;0;3;8;0.14639905549;0.0;0.834782608696;0;98177;0.996300466463;0.119601328904;0.211111111111;0.00322712266775;0.0424262295082
19;2;2015;0.151515151515;0.125;0.112916328188;0.0181328569193;0.0;0;0;4;7;0.115702479339;0.0915178571429;0.55652173913;0;98030;0.307222132862;0.269102990033;0.348148148148;0.0402092065729;0.0355409836066
6;2;2015;0.151515151515;0.375;0.169780666125;0.00660502842836;0.0;0;0;3;8;0.107438016529;0.263392857143;0.539130434783;2014;98006;0.627312208461;0.28488372093;0.290740740741;0.0115978584765;0.0714754098361
17;4;2015;0.0909090909091;0.3125;0.12672623883;0.00497496218246;0.5;0;0;3;7;0.184179456907;0.0;0.826086956522;0;98092;0.274087180312;0.274086378738;0.218518518519;0.00979264809526;0.0245245901639
8;7;2014;0.0909090909091;0.3125;0.0991064175467;0.00137577591153;0.5;0;0;4;7;0.144037780401;0.0;0.8;0;98031;0.398101978446;0.275747508306;0.227777777778;0.00340022503307;0.0222950819672
23;6;2014;0.121212121212;0.40625;0.238017871649;0.00432945594909;0.5;0;0;3;11;0.345926800472;0.0;0.921739130435;0;98029;0.622486729934;0.435215946844;0.548148148148;0.00670153442882;0.108852459016
14;4;2015;0.0606060606061;0.1875;0.117790414297;0.00267982890825;0.25;0;2;4;7;0.17119244392;0.0;0.0608695652174;1969;98126;0.672832555895;0.116279069767;0.25;0.00494578186629;0.0819672131148
31;7;2014;0.121212121212;0.3125;0.195775792039;0.00513796880705;0.5;0;0;3;10;0.28453364817;0.0;0.939130434783;0;98033;0.850088467106;0.265780730897;0.385185185185;0.00859329599268;0.155409836066
19;5;2014;0.0606060606061;0.125;0.0576766856214;0.00404256428981;0.0;0;0;3;7;0.0838252656434;0.0;0.226086956522;0;98133;0.891587582435;0.135382059801;0.272222222222;0.0079379798954;0.0506229508197
