Day;Month;Year;bedrooms;bathrooms;kvm_living;kvm_lot;floors;waterfront;view;condition;grade;kvm_above;kvm_basement;yr_built;yr_renovated;zipcode;lat;long;kvm_living15;kvm_lot15;price_nok
13;10;2014;3;1.0;110;525;1.0;0;0;3;7;110;0;1955;0;98178;47.5112;-122.257;124;525;1766324
9;12;2014;3;2.25;239;673;2.0;0;0;3;7;202;37;1951;1991;98125;47.721;-122.319;157;710;4282480
25;2;2015;2;1.0;72;929;1.0;0;0;3;6;72;0;1933;0;98028;47.7379;-122.233;253;749;1432800
9;12;2014;4;3.0;182;465;1.0;0;0;5;7;98;85;1965;0;98136;47.5208;-122.393;126;465;4807840
18;2;2015;3;2.0;156;751;1.0;0;0;3;8;156;0;1987;0;98074;47.6168;-122.045;167;697;4059600
12;5;2014;4;4.5;504;9470;1.0;0;0;3;11;361;142;2001;0;98053;47.6561;-122.005;442;9470;9751000
27;6;2014;3;2.25;159;634;2.0;0;0;3;7;159;0;1995;0;98003;47.3097;-122.327;208;634;2049700
15;1;2015;3;1.5;98;902;1.0;0;0;3;7;98;0;1963;0;98198;47.4095;-122.315;153;902;2323126
15;4;2015;3;1.0;165;694;1.0;0;0;3;7;98;68;1960;0;98146;47.5123;-122.337;165;754;1826820
12;3;2015;3;2.5;176;609;2.0;0;0;3;7;176;0;2003;0;98038;47.3684;-122.031;222;703;2571080
3;4;2015;3;2.5;331;910;1.0;0;0;3;8;173;158;1965;0;98007;47.6007;-122.145;205;829;5273500
27;5;2014;2;1.0;108;557;1.0;0;0;4;7;80;28;1942;0;98115;47.69;-122.292;124;557;3725280
28;5;2014;3;1.0;133;1849;1.5;0;0;4;7;133;0;1927;0;98028;47.7558;-122.229;165;1180;2467600
7;10;2014;3;1.75;127;899;1.0;0;0;4;7;127;0;1977;0;98074;47.6127;-122.045;127;948;3184000
12;3;2015;5;2.0;168;451;1.5;0;0;3;7;168;0;1900;0;98107;47.67;-122.394;126;451;4218800
24;1;2015;4;3.0;274;465;2.0;0;3;3;9;184;90;1979;0;98126;47.5714;-122.375;199;372;5174000
31;7;2014;3;2.0;176;1304;2.0;0;0;3;7;176;0;1994;0;98019;47.7277;-121.962;176;1302;3144200
29;5;2014;4;1.0;149;399;1.5;0;0;4;7;149;0;1916;0;98103;47.6648;-122.343;150;399;3860600
5;12;2014;2;1.0;111;915;1.0;0;0;4;7;111;0;1921;0;98002;47.3089;-122.21;98;473;1504440
24;4;2015;3;1.0;116;908;1.0;0;0;4;7;116;0;1969;0;98003;47.3343;-122.306;119;822;1830800
14;5;2014;4;1.75;151;463;1.0;0;0;4;7;80;71;1947;0;98133;47.7025;-122.341;130;463;3064600
26;8;2014;3;2.75;283;4168;1.0;0;4;3;9;216;67;1968;0;98040;47.5316;-122.233;382;1889;15920000
3;7;2014;5;2.5;211;585;2.0;0;0;3;8;211;0;1995;0;98092;47.3266;-122.169;208;651;2268600
16;5;2014;2;1.5;99;896;1.0;0;0;3;7;99;0;1985;0;98030;47.3533;-122.166;113;779;2011492
20;11;2014;3;2.25;228;604;2.0;0;0;4;8;228;0;1985;0;98030;47.3739;-122.172;204;638;2618840
3;11;2014;3;2.0;159;436;1.5;0;0;5;6;159;0;1941;0;98002;47.3048;-122.218;96;437;1854680
26;6;2014;3;1.75;228;250;2.0;0;0;3;8;163;65;1915;0;98119;47.6386;-122.36;164;332;7458520
1;12;2014;3;1.0;130;147;1.5;0;0;5;8;130;0;1909;0;98112;47.6221;-122.314;173;359;5309320
24;6;2014;3;1.75;141;593;1.0;0;0;3;7;73;68;1948;0;98115;47.695;-122.304;141;579;3486480
2;3;2015;4;2.5;239;666;2.0;0;0;3;8;239;0;2005;0;98052;47.7073;-122.11;244;560;5723240
10;11;2014;3;2.5;216;370;2.0;0;0;3;8;216;0;2003;0;98027;47.5391;-122.07;240;370;4620780
1;12;2014;2;1.5;111;118;3.0;0;0;3;7;111;0;2005;0;98133;47.7274;-122.357;129;163;2228800
24;6;2014;4;1.75;216;465;1.5;0;0;4;7;140;76;1929;0;98117;47.6823;-122.368;136;465;5472500
10;11;2014;3;1.0;101;279;1.5;0;0;4;8;101;0;1929;0;98117;47.6889;-122.375;146;472;4258600
3;12;2014;4;2.75;191;619;1.0;0;0;3;7;119;72;1981;0;98058;47.4276;-122.157;188;810;2567100
13;6;2014;3;2.5;214;284;1.5;0;0;3;8;140;73;1930;2002;98115;47.6827;-122.31;148;303;5540160
28;5;2014;4;1.0;154;3237;1.0;0;0;1;5;86;68;1933;0;98052;47.6621;-122.132;201;1065;4378000
30;12;2014;4;2.0;219;557;2.0;0;0;4;8;219;0;1904;0;98107;47.6702;-122.362;161;437;5094400
